lemma,count,per 10k,count in corpus (est)
ሚኒስትር,145,7.31,14500
ግብር,145,7.31,14500
ጠፋ,144,7.26,14400
ቈጠረ,142,7.16,14200
ጥረት,142,7.16,14200
ላላ,141,7.11,14100
ነገረ,140,7.06,14000
ምርት,140,7.06,14000
ጠቈመ,139,7.01,13900
ጻፈ,139,7.01,13900
ሰአት,139,7.01,13900
ማን,138,6.96,13800
ተጫወተ,137,6.91,13700
ገጠመ,137,6.91,13700
ዩኒቨርሲቲ,136,6.86,13600
ተያያዘ,135,6.81,13500
ጤና,135,6.81,13500
ተስፋ,135,6.81,13500
ሀብት,135,6.81,13500
ምግብ,134,6.76,13400
መልክ,134,6.76,13400
እምነት,134,6.76,13400
ፍላጎት,133,6.7,13300
ጣለ,132,6.65,13200
መጠን,132,6.65,13200
ጨዋታ,131,6.6,13100
ፕሮጀክት,130,6.55,13000
ማህበር,130,6.55,13000
ከበረ,129,6.5,12900
ክለብ,129,6.5,12900
ወደደ,128,6.45,12800
ኢኮኖሚ,128,6.45,12800
ኳስ,128,6.45,12800
አነሳ,128,6.45,12800
ገራ,127,6.4,12700
አበረ,127,6.4,12700
ህብረተሰብ,127,6.4,12700
ህክምና,126,6.35,12600
አባት,126,6.35,12600
ፍቅር,125,6.3,12500
እሴት,125,6.3,12500
ተገለገለ,125,6.3,12500
ሂደት,125,6.3,12500
ጋራ,124,6.25,12400
እንቅስቃሴ,123,6.2,12300
መቶ,123,6.2,12300
ባንክ,121,6.1,12100
ፕሬዚዳንት,120,6.05,12000
ገበያ,120,6.05,12000
አደረ,120,6.05,12000
ኢንዱስትሪ,120,6.05,12000
ስነ,120,6.05,12000
ባህል,120,6.05,12000
እናት,118,5.95,11800
ጉባኤ,117,5.9,11700
አዋጅ,117,5.9,11700
ቈረጠ,117,5.9,11700
ጥቅም,116,5.85,11600
ምድር,116,5.85,11600
ስፖርት,116,5.85,11600
እውነት,115,5.8,11500
ወረደ,115,5.8,11500
ደገፈ,114,5.75,11400
ውሳኔ,113,5.7,11300
ሞከረ,113,5.7,11300
አጣ,112,5.65,11200
ግል,112,5.65,11200
ወንድ,112,5.65,11200
መድረክ,112,5.65,11200
ስልጠና,112,5.65,11200
እድሜ,112,5.65,11200
ቀደመ,111,5.6,11100
ፈራ,110,5.55,11000
አትሌት,109,5.49,10900
ሰራተኛ,109,5.49,10900
አደጋ,109,5.49,10900
ሀላፊ,109,5.49,10900
ማእከል,108,5.44,10800
ከሰተ,107,5.39,10700
ኩባንያ,107,5.39,10700
ነጻነት,106,5.34,10600
ተላለፈ,106,5.34,10600
አመራር,106,5.34,10600
በራ,105,5.29,10500
መልስ,103,5.19,10300
አየር,103,5.19,10300
ሞት,103,5.19,10300
ድምጽ,102,5.14,10200
ግንኙነት,102,5.14,10200
ታላቅ,102,5.14,10200
ነዋሪ,101,5.09,10100
መታ,101,5.09,10100
ዋጋ,100,5.04,10000
አይን,100,5.04,10000
ተሸነፈ,100,5.04,10000
ፍርድ,99,4.99,9900
ለቀቀ,99,4.99,9900
ዝግጅት,99,4.99,9900
ወረዳ,99,4.99,9900
ሜትር,99,4.99,9900
ውይይት,98,4.94,9800
ላከ,98,4.94,9800
ወከለ,98,4.94,9800
ህጻን,98,4.94,9800
ቀና,98,4.94,9800
አላማ,98,4.94,9800
ሀላፊነት,97,4.89,9700
ማረ,97,4.89,9700
ንብረት,96,4.84,9600
ስሜት,96,4.84,9600
መረመረ,96,4.84,9600
ውስጥ,96,4.84,9600
ባለስልጣን,95,4.79,9500
ማህበረሰብ,95,4.79,9500
ተነገረ,95,4.79,9500
እውቀት,95,4.79,9500
ሙያ,95,4.79,9500
ባለቤት,94,4.74,9400
ጥበብ,94,4.74,9400
ለወጠ,94,4.74,9400
ብይ,94,4.74,9400
ግለሰብ,94,4.74,9400
ጠነከረ,94,4.74,9400
ኢትዮጵያዊ,93,4.69,9300
አመለካከት,93,4.69,9300
ቀነሰ,93,4.69,9300
ዞን,93,4.69,9300
እርምጃ,93,4.69,9300
ፈቀደ,92,4.64,9200
ዶላር,91,4.59,9100
ተጠነቀቀ,91,4.59,9100
ግብ,90,4.54,9000
ተማረ,90,4.54,9000
እውስ,89,4.49,8900
ተፈጥሮ,89,4.49,8900
ምላሽ,89,4.49,8900
ፌዴሬሽን,89,4.49,8900
ጐዳ,88,4.44,8800
ደቡብ,87,4.39,8700
ሳለ,87,4.39,8700
ነጥብ,87,4.39,8700
ነፈሰ,86,4.34,8600
መፍትሄ,86,4.34,8600
ተቃወመ,85,4.28,8500
ዙሪያ,85,4.28,8500
ከለከለ,85,4.28,8500
ስፍራ,84,4.23,8400
ሞተ,84,4.23,8400
አዘዘ,83,4.18,8300
ለመደ,83,4.18,8300
ሀይማኖት,83,4.18,8300
ቢሮ,83,4.18,8300
ጦርነት,83,4.18,8300
ሰለጠነ,83,4.18,8300
ዶክተር,82,4.13,8200
መላ,82,4.13,8200
ተገነዘበ,82,4.13,8200
ዳነ,82,4.13,8200
እስፖርት,81,4.08,8100
ቋንቋ,81,4.08,8100
ቀላ,81,4.08,8100
አሰረ,80,4.03,8000
አመመ,80,4.03,8000
ግድብ,80,4.03,8000
ቀየረ,80,4.03,8000
ጓደኛ,80,4.03,8000
የት,80,4.03,8000
ከፋ,79,3.98,7900
ቸገረ,79,3.98,7900
ገደለ,79,3.98,7900
ደነበረ,78,3.93,7800
መረተ,78,3.93,7800
አረሰ,77,3.88,7700
ተመነ,77,3.88,7700
ህብረት,77,3.88,7700
ቀድሞ,77,3.88,7700
ጉዳት,76,3.83,7600
አስተሳሰብ,75,3.78,7500
ደረጀ,75,3.78,7500
ብቃት,75,3.78,7500
ረገድ,75,3.78,7500
እንስሳ,75,3.78,7500
ፕሮግራም,74,3.73,7400
ገጽ,74,3.73,7400
በሽታ,74,3.73,7400
ጽሁፍ,74,3.73,7400
ተጓዘ,74,3.73,7400
ገረመ,74,3.73,7400
ተወ,74,3.73,7400
ማንኛውም,74,3.73,7400
ሳምንት,73,3.68,7300
ጉዞ,73,3.68,7300
ወንድም,73,3.68,7300
ንግግር,73,3.68,7300
ውጪ,73,3.68,7300
ወገን,73,3.68,7300
ሚኒስቴር,73,3.68,7300
ገለጠ,73,3.68,7300
ጦር,73,3.68,7300
እቃ,72,3.63,7200
ወጥ,72,3.63,7200
ተንቀሳቀሰ,72,3.63,7200
እለት,72,3.63,7200
ኮሚቴ,72,3.63,7200
ከፈተ,71,3.58,7100
በበኩል,71,3.58,7100
ሚና,71,3.58,7100
ተከላከለ,71,3.58,7100
ደንብ,71,3.58,7100
ሸጠ,70,3.53,7000
ዘለቀ,70,3.53,7000
ልክ,70,3.53,7000
ስምምነት,70,3.53,7000
አቅጣጫ,70,3.53,7000
ዳይሬክተር,70,3.53,7000
ቴክኖሎጂ,70,3.53,7000
ተሰኘ,70,3.53,7000
ሪፖርት,70,3.53,7000
ስብሰባ,69,3.48,6900
ብሄር,69,3.48,6900
ሊግ,69,3.48,6900
ሳበ,69,3.48,6900
ለበሰ,69,3.48,6900
ወንጀል,68,3.43,6800
አስቀመጠ,68,3.43,6800
ክብር,68,3.43,6800
ልምድ,68,3.43,6800
ድርጊት,68,3.43,6800
ጥቃት,68,3.43,6800
ተወዳደረ,68,3.43,6800
ባህርይ,68,3.43,6800
አሰልጣኝ,67,3.38,6700
ብዛት,67,3.38,6700
አቋም,67,3.38,6700
ትናንት,67,3.38,6700
አስተዋጽኦ,66,3.33,6600
ተጽእኖ,66,3.33,6600
ለማ,66,3.33,6600
ምርምር,66,3.33,6600
ባህር,65,3.28,6500
በር,65,3.28,6500
ተከለ,65,3.28,6500
ኪሎ,65,3.28,6500
ጨበጠ,65,3.28,6500
ንግር,64,3.23,6400
ፋብሪካ,64,3.23,6400
ዋንጫ,64,3.23,6400
ሚስት,64,3.23,6400
መከረ,63,3.18,6300
ምንጭ,63,3.18,6300
ፖሊሲ,63,3.18,6300
ቅሬታ,63,3.18,6300
ጥንክር,63,3.18,6300
ደም,63,3.18,6300
ተባበረ,63,3.18,6300
ስጋት,63,3.18,6300
ሆቴል,63,3.18,6300
ትውልድ,62,3.13,6200
ቀለለ,62,3.13,6200
ዘር,62,3.13,6200
ትግል,62,3.13,6200
ሰፈረ,62,3.13,6200
ጥራት,62,3.13,6200
ደነቀ,62,3.13,6200
ዘንድሮ,62,3.13,6200
አዘነ,61,3.08,6100
መድሀኒት,61,3.08,6100
አገዘ,61,3.08,6100
ሰላ,61,3.08,6100
ጐን,61,3.08,6100
ግንዛቤ,61,3.08,6100
ደህንነት,61,3.08,6100
በረታ,60,3.02,6000
እጥረት,59,2.97,5900
መልእክት,59,2.97,5900
ኢንቨስትመንት,59,2.97,5900
ግራ,59,2.97,5900
እርዳታ,59,2.97,5900
በጀት,59,2.97,5900
አንጻር,59,2.97,5900
ጌታ,59,2.97,5900
ግብጽ,59,2.97,5900
ቦርድ,59,2.97,5900
ትርጉም,58,2.92,5800
ምስራቅ,58,2.92,5800
ነዳ,58,2.92,5800
መረቀ,58,2.92,5800
ሪፖርተር,58,2.92,5800
አትሌቲክስ,57,2.87,5700
ድህነት,57,2.87,5700
ጥበቃ,57,2.87,5700
አቀደ,57,2.87,5700
ቢሊዮን,57,2.87,5700
ዘገባ,57,2.87,5700
ተረከበ,57,2.87,5700
በረከተ,56,2.82,5600
ኑሮ,56,2.82,5600
አቀፈ,56,2.82,5600
ጸሀፊ,56,2.82,5600
ፊልም,56,2.82,5600
ነገ,56,2.82,5600
ተካተተ,55,2.77,5500
ተሻገረ,55,2.77,5500
መንገድ,55,2.77,5500
ድርቅ,55,2.77,5500
ተከታተለ,55,2.77,5500
ፈተና,55,2.77,5500
ተሳካ,55,2.77,5500
ወደቀ,55,2.77,5500
ኪራይ,55,2.77,5500
ራቀ,55,2.77,5500
ወይዘሮ,55,2.77,5500
ተደሰተ,55,2.77,5500
ደስታ,55,2.77,5500
መምህር,55,2.77,5500
ስህተት,54,2.72,5400
ሙዚቃ,54,2.72,5400
አማራጭ,54,2.72,5400
አረፈ,54,2.72,5400
ሰማይ,54,2.72,5400
መደበ,54,2.72,5400
ሰብአዊ,54,2.72,5400
ሙስና,54,2.72,5400
ሄክታር,54,2.72,5400
ሸፈነ,53,2.67,5300
ክርስቲያን,53,2.67,5300
ሚዲያ,53,2.67,5300
ግምት,53,2.67,5300
ፈቃድ,53,2.67,5300
ጣቢያ,53,2.67,5300
ቁጥጥር,53,2.67,5300
ዞረ,53,2.67,5300
ሁል,52,2.62,5200
ጠላ,52,2.62,5200
ሜዳ,52,2.62,5200
አእምሮ,52,2.62,5200
አስተማረ,52,2.62,5200
እስራኤል,52,2.62,5200
ያን,52,2.62,5200
ዴሞክራሲያ,52,2.62,5200
ፍትህ,51,2.57,5100
ወርቅ,51,2.57,5100
ረሳ,51,2.57,5100
ልዩነት,51,2.57,5100
ገና,51,2.57,5100
ጸደቀ,51,2.57,5100
ብሄረሰብ,51,2.57,5100
እርሻ,50,2.52,5000
ሆስፒታል,50,2.52,5000
ብይት,50,2.52,5000
አሻገር,50,2.52,5000
ገመተ,50,2.52,5000
ነሳ,50,2.52,5000
ሰሞን,50,2.52,5000
ማንነት,50,2.52,5000
ይፋ,49,2.47,4900
ውግድ,49,2.47,4900
ኢህአዴግ,49,2.47,4900
ገጠር,49,2.47,4900
መነጨ,49,2.47,4900
ተቈጣጠረ,49,2.47,4900
ተወዳጀ,49,2.47,4900
ህመም,49,2.47,4900
ጐደለ,49,2.47,4900
ተረፈ,49,2.47,4900
ደብዳቤ,49,2.47,4900
ስፋት,48,2.42,4800
ተገደደ,48,2.42,4800
ውይ*,48,2.42,4800
ሀኪም,48,2.42,4800
ጋበዘ,48,2.42,4800
ፖሊስ,48,2.42,4800
ባቡር,48,2.42,4800
አተመ,48,2.42,4800
ዳበረ,48,2.42,4800
ቡና,48,2.42,4800
ሰራዊት,48,2.42,4800
ኤጀንሲ,47,2.37,4700
ከበደ,47,2.37,4700
ተሰለፈ,47,2.37,4700
ጎዳና,47,2.37,4700
ሰነድ,47,2.37,4700
ተጠናቀቀ,47,2.37,4700
ሰደደ,47,2.37,4700
ነቃ,46,2.32,4600
አመለከተ,46,2.32,4600
ነካ,46,2.32,4600
ኮሚሽን,46,2.32,4600
ብርሀን,46,2.32,4600
በአግባብ,46,2.32,4600
ቅድሚያ,46,2.32,4600
ተካ,46,2.32,4600
ተሻሻለ,46,2.32,4600
ዋነኛ,46,2.32,4600
አደራ,46,2.32,4600
ረጋ,45,2.27,4500
ጠላት,45,2.27,4500
ሰፈነ,45,2.27,4500
ዛሬ,45,2.27,4500
ድል,45,2.27,4500
ራእይ,45,2.27,4500
ሽልማት,44,2.22,4400
መስክ,44,2.22,4400
ተከበረ,44,2.22,4400
ግጭት,44,2.22,4400
አራት,44,2.22,4400
ጥንቅቅ,44,2.22,4400
ታታ,44,2.22,4400
ጐበኘ,44,2.22,4400
ኩል,44,2.22,4400
ክስ,43,2.17,4300
ሰውነት,43,2.17,4300
ህዳሴ,43,2.17,4300
ኤሌክትሪክ,43,2.17,4300
ገፋ,43,2.17,4300
ዝርዝር,43,2.17,4300
መጠነ,43,2.17,4300
ህገ,43,2.17,4300
ምሁር,43,2.17,4300
ጋዜጣ,43,2.17,4300
ፍጥነት,43,2.17,4300
ተቃውሞ,43,2.17,4300
ነፍስ,42,2.12,4200
አከለ,42,2.12,4200
ሻ,42,2.12,4200
ግብእ,42,2.12,4200
ቀለም,42,2.12,4200
ጽህፈት,42,2.12,4200
ጠጣ,42,2.12,4200
ተካፈለ,42,2.12,4200
ሾመ,42,2.12,4200
ወንዝ,42,2.12,4200
ትዳር,42,2.12,4200
ነበር,42,2.12,4200
ሽብር,42,2.12,4200
አማራ,42,2.12,4200
ዘገበ,41,2.07,4100
ወዲ,41,2.07,4100
ጋዜጠኛ,41,2.07,4100
መዝሙር,41,2.07,4100
ምርመራ,41,2.07,4100
ትራንስፎርሜሽን,41,2.07,4100
ትእዛዝ,41,2.07,4100
ግድ,41,2.07,4100
ግብአት,41,2.07,4100
ፈጠጠ,41,2.07,4100
አደሰ,41,2.07,4100
እገዛ,41,2.07,4100
ትኩረት,41,2.07,4100
ምግባር,41,2.07,4100
ሰሜን,40,2.02,4000
እያንዳንዱ,40,2.02,4000
እስር,40,2.02,4000
በተነ,40,2.02,4000
እንዲያ,40,2.02,4000
ታገለ,40,2.02,4000
እስራኤላዊ,40,2.02,4000
ስኬት,40,2.02,4000
ርቀት,40,2.02,4000
አካሄደ,40,2.02,4000
ዘረጋ,40,2.02,4000
ተራራ,40,2.02,4000
ሮጠ,40,2.02,4000
ሰውዬ,40,2.02,4000
አስፈጻሚ,40,2.02,4000
ደከመ,39,1.97,3900
አገልጋይ,39,1.97,3900
ቀጥታ,39,1.97,3900
አፈር,39,1.97,3900
ሩጫ,39,1.97,3900
ተጨነቀ,39,1.97,3900
ክፍተት,39,1.97,3900
ተወራ,39,1.97,3900
ቀበሌ,39,1.97,3900
ስልክ,39,1.97,3900
ማራቶን,39,1.97,3900
አለቀ,39,1.97,3900
ተመሰገነ,39,1.97,3900
እንግሊዝ,38,1.92,3800
እሳት,38,1.92,3800
ምስክር,38,1.92,3800
አንቀጽ,38,1.92,3800
ዘዴ,38,1.92,3800
ግንቦት,38,1.92,3800
ሰፈር,38,1.92,3800
ትኵር,38,1.92,3800
አጀንዳ,38,1.92,3800
ገብ,37,1.87,3700
ትራንስፖርት,37,1.87,3700
መሰከረ,37,1.87,3700
ደለበ,37,1.87,3700
ፓርክ,37,1.87,3700
ምእራፍ,37,1.87,3700
ኦሊምፒክ,37,1.87,3700
ሙከራ,37,1.87,3700
ፋፋ,37,1.87,3700
ጥሪ,37,1.87,3700
ደፈረ,37,1.87,3700
ትብብር,37,1.87,3700
አራ,37,1.87,3700
ድስስስ,37,1.87,3700
ዜና,37,1.87,3700
ከለለ,37,1.87,3700
ድርድር,37,1.87,3700
ተዘዋወረ,37,1.87,3700
ተቀኘ,37,1.87,3700
ቋጠረ,37,1.87,3700
ጣረ,36,1.81,3600
ምእራብ,36,1.81,3600
መሳሪያ,36,1.81,3600
ተገኛኘ,36,1.81,3600
ፋይናንስ,36,1.81,3600
ረባ,36,1.81,3600
ቀጠረ,36,1.81,3600
ቴሌቪዥን,36,1.81,3600
መሀል,36,1.81,3600
ሻምፒዮና,36,1.81,3600
ምክትል,36,1.81,3600
ቀጣ,36,1.81,3600
ባሰ,36,1.81,3600
ግዛት,35,1.76,3500
ጉልበት,35,1.76,3500
ፓርላማ,35,1.76,3500
አፍ,35,1.76,3500
ጐላ,35,1.76,3500
አውሮፕላን,35,1.76,3500
ነጋዴ,35,1.76,3500
ብድር,35,1.76,3500
ምርጥ,35,1.76,3500
ፕሮን,35,1.76,3500
ክፍያ,35,1.76,3500
ገመገመ,35,1.76,3500
ስደተኛ,35,1.76,3500
ሜዳሊያ,35,1.76,3500
ፍጹም,35,1.76,3500
ጋብቻ,34,1.71,3400
ምች,34,1.71,3400
ቀረፈ,34,1.71,3400
እንግዳ,34,1.71,3400
መስመር,34,1.71,3400
ቀረጸ,34,1.71,3400
ስጋ,34,1.71,3400
ገበሬ,34,1.71,3400
ጥንቃቄ,34,1.71,3400
መዘነ,34,1.71,3400
ወታደር,34,1.71,3400
ደቂቃ,34,1.71,3400
አክዋያ,34,1.71,3400
ገለጻ,34,1.71,3400
ክርስቶስ,34,1.71,3400
ሰካ,34,1.71,3400
ሀዘን,33,1.66,3300
አደነ,33,1.66,3300
አጼ,33,1.66,3300
ፈጠራ,33,1.66,3300
ዘጋ,33,1.66,3300
ምልክት,33,1.66,3300
ፈጠነ,33,1.66,3300
መስኖ,33,1.66,3300
የካቲት,33,1.66,3300
መንደር,33,1.66,3300
ተራ,33,1.66,3300
ጨረታ,33,1.66,3300
ፈረሰ,33,1.66,3300
እንድ,33,1.66,3300
ክትትል,33,1.66,3300
ገነነ,33,1.66,3300
አጠገብ,33,1.66,3300
ግቢ,33,1.66,3300
ቆይታ,33,1.66,3300
ሳተ,33,1.66,3300
ዳረገ,33,1.66,3300
ሽእል,32,1.61,3200
ትርፍ,32,1.61,3200
ደራሲ,32,1.61,3200
ስብስብ,32,1.61,3200
ምድብ,32,1.61,3200
ፈተሸ,32,1.61,3200
ርእስ,32,1.61,3200
እህት,32,1.61,3200
መሰረት,32,1.61,3200
በግ,32,1.61,3200
ቴክኒክ,32,1.61,3200
ሽያጭ,32,1.61,3200
ዲግሪ,32,1.61,3200
ሀጢአት,31,1.56,3100
መርህ,31,1.56,3100
ድምጥ,31,1.56,3100
ሰይጣን,31,1.56,3100
አዳራሽ,31,1.56,3100
ሳቀ,31,1.56,3100
ዝናብ,31,1.56,3100
ኰራ,31,1.56,3100
ተከራየ,31,1.56,3100
ዋጠ,31,1.56,3100
ቆዳ,31,1.56,3100
መገበ,31,1.56,3100
ደርግ,31,1.56,3100
በቀለ,31,1.56,3100
ዳኘ,31,1.56,3100
ድሮ,31,1.56,3100
ክስተት,31,1.56,3100
ተቀባይነት,31,1.56,3100
ቀላቀለ,31,1.56,3100
ደን,31,1.56,3100
ረዳት,31,1.56,3100
አደባባይ,31,1.56,3100
ድንጋይ,31,1.56,3100
አጠበ,31,1.56,3100
ስንት,31,1.56,3100
ጎረቤት,31,1.56,3100
ሀዋርያ,31,1.56,3100
ተንሳሳ,31,1.56,3100
ግማሽ,31,1.56,3100
መከራ,30,1.51,3000
ዳር,30,1.51,3000
አልጋ,30,1.51,3000
ፈረደ,30,1.51,3000
ዋስትና,30,1.51,3000
አሸናፊ,30,1.51,3000
ዘመቻ,30,1.51,3000
ተሀድሶ,30,1.51,3000
ግንባር,30,1.51,3000
ተልእኮ,30,1.51,3000
ዝእዝ,29,1.46,2900
ቅጣት,29,1.46,2900
ስትራቴጂ,29,1.46,2900
ናደ,29,1.46,2900
ተሽከረከረ,29,1.46,2900
እግዚአብሄር,29,1.46,2900
እጣ,29,1.46,2900
ታወሰ,29,1.46,2900
ተረጐመ,29,1.46,2900
ተስማማ,29,1.46,2900
ፈተነ,29,1.46,2900
ዛፍ,29,1.46,2900
ድርር,29,1.46,2900
አባይ,29,1.46,2900
ተደራጀ,29,1.46,2900
ህገወጥ,29,1.46,2900
ከረከረ,29,1.46,2900
አረመ,29,1.46,2900
መጠጥ,29,1.46,2900
ኮከብ,29,1.46,2900
ለካ,29,1.46,2900
ህንጻ,29,1.46,2900
ፍሬ,29,1.46,2900
አደመ,29,1.46,2900
አማ,29,1.46,2900
ቫይረስ,29,1.46,2900
አከመ,29,1.46,2900
ድንበር,28,1.41,2800
ቤተ,28,1.41,2800
አየለ,28,1.41,2800
ህልውና,28,1.41,2800
ነገሰ,28,1.41,2800
ጎርፍ,28,1.41,2800
ኮሌጅ,28,1.41,2800
አበለ,28,1.41,2800
ጥርጥር,28,1.41,2800
ተዳደረ,28,1.41,2800
ካህን,28,1.41,2800
ገጽታ,28,1.41,2800
ተጠቃሚነት,28,1.41,2800
ችሎታ,28,1.41,2800
እድር,28,1.41,2800
ይሁዳ,28,1.41,2800
ተመካ,28,1.41,2800
አዘጋጅ,28,1.41,2800
አለቃ,28,1.41,2800
ፈሰሰ,28,1.41,2800
ጫነ,28,1.41,2800
ወግ,28,1.41,2800
መጠጠ,28,1.41,2800
ውርእ,27,1.36,2700
ከተተ,27,1.36,2700
ሰነዘረ,27,1.36,2700
ተዋወቀ,27,1.36,2700
ይሄን,27,1.36,2700
ቴአትር,27,1.36,2700
ጸለየ,27,1.36,2700
ተክል,27,1.36,2700
መስከረም,27,1.36,2700
ፈጀ,27,1.36,2700
አመጽ,27,1.36,2700
